"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-07-07","100.2","-1","5.35","deGrom, Jacob",607054,594798,"strikeout","called_strike",,,,,"3","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","S","2",,"3","2",2021,"-0.77","1.2","0.68","3.34",,,"541645","2","7","Top",,,,,"621512",,,6.531460416034519,-145.96578243115803,-3.128691511914482,-12.46576095510068,30.36611285075624,-14.45287477679145,"3.3","1.6",,,,"101.9","2409","6.9",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.59",,,"0","1","0","0",,"50","6","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","220","0.017","-0.264"
"SL","2021-07-07","92.8","-1.04","5.47","deGrom, Jacob",607054,594798,,"ball",,,,,"14","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","B",,,"2","2",2021,"0.14","0.34","1.45","1.02",,,"541645","2","7","Top",,,,,"621512",,,6.128577992581822,-135.1629659094478,-6.573902050394403,0.7805384067385878,20.962584346629132,-27.009028604566353,"3.37","1.59",,,,"94.9","2451","6.8",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.66",,,,,,,,"50","5","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","185","0","0.072"
"FF","2021-07-07","99.4","-1.13","5.44","deGrom, Jacob",607054,594798,,"foul",,,,,"2","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","S",,,"2","1",2021,"-0.84","1.2","-0.15","2.93",,,"541645","2","7","Top",,,,,"621512",,,4.674360660562943,-144.62886194785622,-4.313209145035279,-12.835205837910527,34.69842430522538,-14.510647225414319,"3.37","1.53","213","79.3","54","100","2344","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.78",,,,,,,,"50","4","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","223","0","-0.063"
"FF","2021-07-07","99.5","-1.15","5.43","deGrom, Jacob",607054,594798,,"ball",,,,,"13","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","B",,,"1","1",2021,"-0.89","1.24","-1.13","2.49",,,"541645","2","7","Top",,,,,"621512",,,2.1534953632549696,-144.82173260313587,-5.614670410984555,-13.06566025120986,34.6108967026619,-13.624459563117894,"3.34","1.64",,,,"100.2","2311","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.78",,,,,,,,"50","3","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","216","0","0.04"
"FF","2021-07-07","98.7","-1.09","5.46","deGrom, Jacob",607054,594798,,"swinging_strike",,,,,"2","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","S",,,"1","0",2021,"-0.66","1.34","-0.25","3.17",,,"541645","2","7","Top",,,,,"621512",,,3.8683711204293285,-143.60898469714508,-3.8824063874156534,-10.106057961967778,35.990232736634646,-13.025018129889627,"3.37","1.53",,,,"99.1","2359","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.79",,,,,,,,"50","2","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","218","0","-0.048"
"FF","2021-07-07","98.3","-1.18","5.45","deGrom, Jacob",607054,594798,,"ball",,,,,"11","Jace Peterson called out on strikes.","R","L","R","NYM","MIL","B",,,"0","0",2021,"-0.64","1.29","-0.11","3.89",,,"541645","2","7","Top",,,,,"621512",,,4.3948486121440675,-143.14434161724444,-1.7751616594422677,-9.757165448293085,33.2590366788997,-14.178916799423027,"3.38","1.65",,,,"99.2","2275","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.76",,,,,,,,"50","1","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","213","0","0.036"
"FF","2021-07-07","97.7","-1.02","5.38","deGrom, Jacob",541645,594798,"single","hit_into_play",,,,,"6","Avisail Garcia singles on a sharp line drive to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","X","8","line_drive","2","0",2021,"-0.45","1.42","0.36","2.77",,,,"2","7","Top",123.69,78.62,,,"621512",,,4.799997285901848,-142.07690447378857,-4.818269012342514,-7.256164115453043,34.079214132552664,-12.00041293555946,"3.55","1.63","300","109.7","13","98.3","2339","6.8",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.71","0.817","0.866","0.9","1","1","0","5","49","3","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","215","-0.009","0.082"
"FF","2021-07-07","96.5","-0.96","5.4","deGrom, Jacob",541645,594798,,"ball",,,,,"14","Avisail Garcia singles on a sharp line drive to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","B",,,"1","0",2021,"-0.93","1.38","0.77","1.25",,,,"2","7","Top",,,,,"621512",,,6.7769998717111495,-140.15110515025245,-8.628288401958418,-13.881303918416528,34.10992140012985,-12.14055119826063,"3.64","1.84",,,,"97","2304","6.9",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.64",,,,,,,,"49","2","4-Seam Fastball","1","2","2","1","2","1","2","1","Infield shift","Standard","219","0","0.024"
"SL","2021-07-07","90.7","-1.26","5.48","deGrom, Jacob",541645,594798,,"ball",,,,,"14","Avisail Garcia singles on a sharp line drive to center fielder Brandon Nimmo.","R","R","R","NYM","MIL","B",,,"0","0",2021,"0.21","0.47","0.34","-0.38",,,,"2","7","Top",,,,,"621512",,,3.574610787527053,-131.86385113352355,-9.851834096959358,1.8429698876044207,24.15473347562666,-25.025821596523024,"3.65","1.84",,,,"91.8","2306","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.82",,,,,,,,"49","1","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","196","0","0.016"
"SL","2021-07-07","91.0","-1.06","5.54","deGrom, Jacob",553882,594798,"strikeout","swinging_strike",,,,,"9","Omar Narvaez strikes out swinging.","R","L","R","NYM","MIL","S","2",,"2","2",2021,"0.44","0.08","0.50","1.71",,,,"1","7","Top",,,,,"621512",,,2.999359141919383,-132.59831921445368,-3.9795119312203595,4.694700665488484,24.504395809728962,-30.706165053246576,"3.32","1.51",,,,"92.3","2314","6.7",633395,594798,"621512","642086","643446","641645","596019","641856","607043","624424","53.82",,,"0","1","0","0",,"48","6","Slider","1","2","2","1","2","1","2","1","Infield shift","Standard","166","0.012","-0.142"
